name,chapter,email,phone,website,address,desc
"HydroScience Engineers, Inc.",Sierra,ha@hydroscience.com,916 364-1490 (Phone); 916 364-1491 (Fax),http://www.hydroscience.com,"10569 Old Placerville Road, Sacramento, California, 95827","HydroScience Engineers is a full service civil engineering firm that provides planning, design and construction-phase services for water, wastewater and recycled water projects and related civil engineering projects."
"Towill, Inc.",Non-Chapter,larry.johnson@towill.com,559 785-9860 (Phone); 925 682-6390 (Fax),http://www.towill.com,"7555 North Palm Avenue, Suite 203, Fresno, California, 93711",
Relational Advisors,Affiliate,mike@relational.com,949 449-2039 (Phone),https://www.relational.com,"5151 California Avenue, Irvine, California, 92617","Relational Advisors was founded for the purpose of helping employers get more value from their benefit programs, empower their HR teams, and provide better financial education to their employees."
Omsberg & Preston,Redwood Region,kpreston@omsberg.com,707 443-8651 (Phone),http://www.omsberg.com,"402 E Street, Eureka, California, 95501","A woman-owned consulting firm providing engineering, surveying & land planning services to California’s north coast region."
NV5,Non-Chapter Member,,,,"42-829 Cook Street, Suite 104, Palm Desert, California","Civil engineering consultants throughout California for public and private entities. Experienced in transportation, land development, public works, program and construction management, water and wastewater facilities, education and correction facilities."
"Coleman & Horowitt, LLP",Affiliate Member,,,,"499 W. Shaw Avenue, Suite 116, Fresno, California",Law firm representing businesses and individuals throughout California. Mr. Weiland specializes in defense of malpractice claims against engineers and engineering firms.
SHN Consulting Engineering & Geologists,Non-Chapter,bgrove@shn-engr.com,530 2215424 (Phone),,"350 Hartnell, Suite B, Redding, California","Environmental services, water systems engineering, wastewater engineering, roads/site work, traffic engineering, economic development, environmental planning services, construction management, civil engineering, surveying, geology, soils engineering/foundations, expert witness."
"California Infrastructure Consultancy, Inc.",Sierra,ntamannaie@califstructure.com,916 448-1980 (Phone); 916 448-1983 (Fax),http://www.califstructure.com,"427 21st Street, Sacramento, California, 95811","Structural and civil design specializing in transportation, including transit, as well as urban development infrastructure design."
Behrens and Associates Inc.,Los Angeles County,dbehrens@baenc.com,310 679-8633 (Phone),https://www.baenc.com,"2320 Alaska Avenue, El Segundo, California, 90245",
"Wood Rodgers, Inc",Non-Chapter,,619 819-9240 (Phone),,"2251 San Diego Avenue, San Diego, California, 92110",
Kleinfelder,San Diego,jmoossazadeh@kleinfelder.com,619 831-4600 (Phone); 619 232-1039 (Fax),http://www.kleinfelder.com,"770 First Avenue, Suite 400, San Diego, California, 92101","Kleinfelder is an employee-owned architecture, engineering, and science consulting firm providing solutions to meet our world's complex infrastructure and natural resource challenges. Leveraging our global technical network of nearly 2,000 employees, we deliver sustainable solutions on every project, for every client, anywhere in the world."
GFT,Orange County,lrussell@gfnet.com,949 3171461 (Phone); 949 6822963 (Fax),http://www.gfnet.com,"20 Pacifica, Suite 430, Irvine, California, 92618","Gannett Fleming, Inc. serves public and private owners with program management for planning, design, and construction project management and oversight needs. In addition, we offer forensic and expert multidisciplinary consulting services for successful delivery of development, and construction projects from concept to completion. Our clients include: cities, counties, state governments, transit agencies, water/wastewater, municipalities, developers, banks, property owners, investors and attorneys."
"Rose Sing Eastham and Associates, Inc.",Sequoia,seastham@rse-eng.com,559-733-2671 (Phone),,"131 S. Dunworth Street, Visalia, California, 93292","Rose Sing Eastham and Associates, Inc. completes electrical design for power, lighting, low voltage, and fire alarm documents for various tyes of construction projects. Our work experience includes clinics, schools, hospitals, airport faclities, corporate office headquarters, telecommunication facilities, ag- and industrial-related capital projects, and water treatment plans. We strive to create clear, constructable, and budget conscientious plans."
NV5,Non-Chapter,Jeff.Pallesen@nv5.com,661 588-6650 (Phone); 661 588-1893 (Fax),http://www.nv5.com,"4700 Stockdale Highway, Suite 100, Bakersfield, California, 93309","Civil engineering consultants throughout California for public and private entities. Experienced in transportation, land development, public works, program and construction management, water and wastewater facilities, education and correction facilities."
WSP USA,Non-Chapter,bruce.corkle@wsp.com,707 793-3800 (Phone); 707 793-3900 (Fax),http://www.wsp.com,"1670 Corporate Circle, Suite 101, Petaluma, California, 94954",Consulting engineering and environmental services.
"North Coast Engineering, Inc.",San Luis,nce@northcoastengineering.com,805 239-3127 (Phone),http://www.northcoastengineering.com,"725 Creston Road, Suite C, Paso Robles, California, 93446","NCE has provided civil and land surveying services for over 40 years on the central coast. NCE provides full construction services including construction staking and construction management. Our services include site planning, grading, SWPPP/SWCP, drainage, utilities, flood studies, topographical mapping, ALTA, boundary surveys, flood certificates, boundary resolutions and construction staking."
TSAC Engineering,San Diego,smcpartland@tsacengineering.com,858 7629611 (Phone),,"12121 Scripps Summit Drive, Suite 150, San Diego, California","Civil Engineering and Land Surveying. Specialties include land development, pipeline design, utility design, Right-of Way and easement surveys."
Applied Technology Council,Affiliate Member,jheintz@atcouncil.org,605 595-1542 (Phone),,"201 Redwood Shores Pkwy, Suite 240, Redwood City, California, 94065","Applied Technology Council (ATC) is a non profit, tax exempt corporation established in 1973 through the efforts of the Structural Engineers Association of California. ATCÕs mission is to develop and promote state-of-the-art, user-friendly engineering resources and applications for use in mitigating the effects of natural and other hazards on the built environment. ATC also identifies and encourages needed research and develops consensus opinions on structural engineering issues in a nonproprietary format. ATC thereby fulfills a unique role in funded information transfer."
AP Design Professionals,Affiliate,katherine.mraz@assuredpartners.com,510 465-3090 (Phone),https://www.assuredpartners.com/,"3697 Mt. Diablo Blvd, Suite 230, Lafayette, California, 94549","With 50+ years of industry focus, our team of over 80 professionals represent 6,000 design professional firms located across the country.  Assuredpartners maintains one of the largest teams focused on servicing the insurance and risk management needs of design professionals anywhere in the world."
Ashley & Vance Engineering Inc.,Non-Chapter,victor@ashleyvance.com,323 744-0010 (Phone),https://www.ashleyvance.com,"600 South Lake Avenue, Suite 308, Pasadena, California, 91106",Civil and structural engineering consulting services.
UNICO Engineering,San Diego,lisa@unicoengineering.com,916 900-6623 (Phone),http://www.unicoengineering.com,"9275 Sky Park Court, Suite 160, San Diego, California, 92123",
Wilson Ihrig,Bay Bridge,info@wiai.com,510 658-6719 (Phone); 510 652-4441 (Fax),http://www.wilsonihrig.com,"5900 Hollis Street, Suite T1, Emeryville, California, 94608","Founded in 1966, Wilson Ihrig is a noise, vibration, and acoustical consulting firm with offices in CA, WA, and NY.  We currently employ a staff of 25, which includes a team of highly-trained and experienced professional specialists in acoustics and vibration.  Two areas we specialize in include transportation, noise and vibration, and building isolation from external vibration sources."
Kimley-Horn,Non-Chapter,melissa.hewitt@kimley-horn.com,549 2220 (Phone),,"180 E Ocean Blvd., Long Beach, California, 90802",
"Lane Engineers, Inc.",Sequoia,aaron@laneengineers.com,559 688-5263 (Phone); 559 688-8893 (Fax),http://www.laneengineers.com,"P.O. Box 1059, Tulare, California, 93274","Services include: mapping, land subdivisions, commercial and industrial land developments, municipal utility and infrastruction systems, communication structures, natural resource development.  Forensic investigation, public and private sector buildings including: schools, hospitals, processing plants, offices, and historic building restoration."
"Lescure Engineers, Inc.",North Coast,le@lescure-engineers.com,707 575-3427 (Phone),http://www.lescure-engineers.com,"5468 Skylane Boulevard, Suite 203, Santa Rosa, California, 95403","Lescure Engineers offers a full range of professional planning, land surveying, civil and environmental resources engineering services including site improvement plans, wastewater collection, treatment and dispersal systems, water storage and distribution plans, utilities plans, use permit applications and development plans, grading, drainage and stormwater plans, boundary, topographic and construction surveying. Our clients include municipalities, community service districts, parks and open space agencies, resorts, estate and single family residential owners and developers, commercial, winery, vineyard and food processing facilities."
"Stantec Consulting Services, Inc.",Bay Bridge,,415 8829500 (Phone),https://www.stantec.com,"300 Montgomery Street, Suite 1200, San Francisco, California, 94104",Engineering and consulting services.
HDR,Orange County,kip.field@hdrinc.com,714 730-2300 (Phone); 714 730-2354 (Fax),http://www.hdrinc.com,"3220 El Camino Real, Suite 200, Irvine, California, 92602","Planning and design of water and wastewater projects, bridges, highways, railroads, solid waste, water resources, environmental planning and permitting."
"Cullen-Sherry & Associates, Inc.",East Bay,rsherry@csa-engineers.com,707 745-3219 (Phone); 707 745-9436 (Fax),http://www.csa-engineers.com,"1090 Adams Street, Suite A, Benicia, California, 94510",Civil engineering and land surveying.
Kennedy/Jenks Consultants,Los Angeles County,edyang@kennedyjenks.com,626 568-4300 (Phone),http://www.kennedyjenks.com,"35 North Lake Avenue, Suite 550, Pasadena, California, 91101","Environmental, civil and sanitary engineering, water  resources, water supply, treatment, and distribution.  Wastewater collection, treatment, reclamation and disposal.  Hazardous waste characterization and remediation.  Storm drainage and flood control.  Solid waste recycling and disposal.  Site utility systems. Utility rate studies.  Industrial water waste and treatment. Environmental audits."
"Watry Design, Inc.",Non-Chapter,,,,"3780 Kilroy Airport Way, Suite 220, Long Beach, California","Watry Design, Inc., using a unique, collaborative process developed over the firmÕs forty year legacy, creates parking solutions specifically tailored to your projectÕs needs. Infused with a passion for parking, our talented architects, engineer and parking planners produce cost effective, award winning solutions for satisfied clients."
Anchor QEA,Bay Bridge,jburnam@achorqea.com,415 2230-0862 (Phone),http://www.anchorqea.com,"33 New Montgomery Street, Suite 1210, San Francisco, California, 94105","Ancho QEA is a nationally recognized environmental engineering and science consulting firm specializing in aquatic, shoreline, and water resource projects, including coastal and floor resiliency. Anchor QEA works with public and private sector clients to address environmental issues through engineering design, planning and strategy development, scientific investigation, and construction management."
"Huitt-Zollars, Inc.",Orange County,okamoto@huitt-zollars.com,949 988-5815 (Phone); 949 988-5820 (Fax),http://www.huitt-zollars.com,"2603 Main Street, Suite 600, Irvine, California, 92614","Major storm drain design; master plans of drainage; ALTA surveys; land surveying and mapping; highways and roadways; sanitary and water projects; hillside development; grading, storm drain and utilities design; street and parking improvements; land planning for residential/commercial/industrial use; legal support expert witness/forensic engineering; CPM scheduling."
Salas O'Brien,Non-Chapter,,,https://www.salasobrien.com,,"Salas O'Brien is an engineering and technical services firm focused on advancing the human experience through the built environment. Our team is engineered for impact™, helping clients achieve critical goals, advancing team members through growth and opportunity, and operating at the center of important global issues, including sustainability and decarbonization."
"Earth Mechanies, Inc.",Non-Chapter,a.zand@earthmech.com,510 562-8833 (Phone),https://www.earthmech.com,"3541 Investment Blvd., Suite 4, Hayward, California, 94545","Earth Mechanics, Inc. (EMI) is a geotechincal and earthquake engineering consulting firm specializing in major geotechnical site investigations and testing, seismic hazard and earthquake retrofit evaluations, and foundation design for projects related to transportation infrastructure including bridges, highways, roadways, rail/transit, ports/harbors, and tunnels."
"Kimley-Horn and Associates, Inc.",Orange County,jason.matson@kimley-horn.com,714 7866131 (Phone); 714 938-9488 (Fax),http://www.kimley-horn.com,"1100 West Town and Country Road, Suite 700, Orange, California, 92868","Kimley-Horn is one of the nation's most comprehensive and best respected engineering and land planning firms. With over 2,000 staff in more than 75 offices nationwide, it offers full services in a wide range of disciplines: aviation, the environment, intelligent transportation systems, forensic engineering, landscape architecture, land planning, transit, transportation, roads and bridges, urban redevelopment, water resources and wireless communications. Kimley-Horn has placed on FORTUNE magazine's ""100 Best Companies to Work For""."
"Schaaf and Wheeler, Consulting Civil Engineers",Monterey Bay Area,,,,"3 Quail Run Circle, Suite 101, Salinas, California","Schaaf and Wheeler, Consulting Civil Engineers, concentrates practice in the field of water resources engineering. The firm has extensive experience in hydrology, hydraulic analyses, flood control and drainage facility design, water supply studies, water system planning and design and wastewater collection system planning and design."
P2S LP,Non-Chapter,mohammad.wasif@p2sinc.com,619 618-2347 (Phone),,"4660 La Jolla Village Drive, Suite 600, San Diego, California, 92122","Full service consulting engineering firm providing mechanical, electrical, plumbing/piping and telecommunication design services for educational, industrial and advanced technology facilities."
"Wood Rodgers, Inc.",Bay Bridge Chapter,,,,"180 Grand Avenue, Suite 400, Oakland, California","Founded in 1997, Wood Rodgers, Inc. is a multi-disciplinary engineering firm specializing in engineering, planning, mapping and surveying. Wood Rodgers also offers services in water supply engineering, water resource engineering, transportation engineering, electrical engineering and construction management for both public and private sectors."
"Ifland Engineers, Inc.",Monterey Bay Area,info@iflandengineers.com,831 426-5313 (Phone),http://iflandengineers.com,"1509 Seabright Avenue, Suite A2, Santa Cruz, California, 95062","Civil Engineering, Structural Engineering, Coastal Engineering, Development Planning/Permitting, Erosion Control, Stormwater Management, SWPPP's, Water/Sewer, Roadway Design and Landslide Repair."
"Michael Baker International, Inc.",Los Angeles County,fareeha.kibriya@mbakerintl.com,213 627-8645 (Phone),http://www.mbakerintl.com,"801 South Grand Avenue, Suite 250, Los Angeles, California, 90017","Engineering services: subdivision engineering; public works engineering; commercial/industrial site design; traffic engineering; water resource engineering; street and highway design engineering; bridge and structural design; traffic signal design; construction engineering management; electrical engineering.  Planning services:  specific plans, environmental analysis; transportation planning; site and land use planning; entitlement-to-use processing; and geographic info systems.  Surveying:  boundary survey and analysis; final subdivision mapping; field surveying and staking."
"GEI Consultants, Inc.",San Diego,tkeller@geiconsultants.com,760 929-9136 (Phone); 760 929-0836 (Fax),http://www.geiconsultants.com,"5901 Priestly Drive, Suite 301, Carlsbad, California, 92008","Water Resources-planning studies; investigation and design for dams, reservoirs, pump stations, water conveyance systems; safety evaluation and rehabilitation of dams, seismic/stability analysis; FERC licensing. Geotechnical-site evaluation/planning, foundation design, waterfront development, seismic evaluations, forensic engineering. Environmental-facility closure plans, risk assessment, brownfields site restoration, air quality permits/engineering, litigation support."
Lochner,Los Angeles County,mzhou@hwlochner.com,323 260-4703 (Phone); 323 260-4705 (Fax),http://www.hwlochner.com,"1100 Corporate Center Drive, Suite 201, Monterey Park, California, 91754","A transportation planning and engineering firm providing design, traffic engineering and civil engineering services to public and private sector clients. Dedicated to moving people and goods efficiently and safely."
Capo Projects Group,Non-Chapter,chasewirtz@capopg.com,949 281-6251 (Phone),https://www.capopg.com,"31320 Via Colinas, Suite 111, Westlake Village, California, 91362","Capo Projects Group is a construction management and technical services company specializing in project management, project controls, scheduling, estimating, construction delay claim management, and professional engineering services. Our fundamental objective is to assist our General Contractor, Owner and Engineering clients increase efficiency and profitability through improved planning, controls and management. Certified: Emerging Small Business Disciplines Offered: Civil (General), Civil (Structural), Civil (Transportation), Construction Management, Forensic, Planning, Other (CPM Scheduling & Estimating)"
"Parametrix, Inc.",Non-Chapter,cshannon@parametrix.com,510 343-6400 (Phone),https://www.parametrix.com,"6001 Shellmound Street, Suite 500, Emeryville, California, 94608","At Parametrix, we help clients imagine what's possible. Whether its resilient infrastructure, livable communities, or habitat restoration, we partner with clients to create vibrant, sustainable communities for generations to come. We are an engineering, planning, and advisory consulting firm with 750 plus staff delivering multi-disciplinary services in transportation, water, community building and environmental planning and compliance."
"FPL and Associates, Inc.",Orange County,irene.lee@fplandassociates.com,949 252-1688 (Phone),http://www.fplandassociates.com,"30 Corporate Park, Suite 401, Irvine, California, 92606","FPL and Associates, Inc. is a traffic and civil engineering firm founded in 1988. Our portfolio of projects that are under the jurisdiction of agencies that include Caltrans, the City of Los Angeles, and the Division of the State Architect (DSA). FPL is also very experienced in the delivery of projects under alternative project delivery methods, including deisgn-build, CM/GC, and P3."
Mott MacDonald,Bay Bridge Chapter,chris.metzger@mottmac.com,510 388-8211 (Phone),http://www.mottmac.com,"1111 Broadway, 3rd Floor, Suite 154, Oakland, California, 94607","Mott MacDonald is an engineering firm specializing in rail and transit, high-speed rail, highways and bridges, tunnels, airports, ports and harbors, water and wastewater. Provides a complete range of services including transportation planning, engineering design, program/project management, construction management and environmental services."
"Stevens, Ferrone & Bailey Engineering Company, Inc.",East Bay,kenf@sfandb.com,,,"PO Box 815, Concord, California","Stevens, Ferrone & Bailey Engineering Company provides comprehensive geotechnical engineering, geological, and storm water management consulting services for a wide array of public and private clients, including commercial, residential and municipal concerns.  The firm specializes in providing innovative and cost-effective solutions to both small and large projects."
"David Evans and Associates, Inc.",Los Angeles County,jabi@deainc.com,213 337-3680 (Phone); 213 337-3679 (Fax),http://www.deainc.com,"201 S. Figueroa St., Suite 240, Los Angeles, California, 90012","Civil engineering, planning, surveying, water resources, landscape architects, telecommunications, structural engineering, transportation planning, and transit highway engineering."
"Fargen Surveys, Inc.",San Luis,marshall@fargensurveys.com,805 934-5727 (Phone); 805 934-3448 (Fax),,"2624 Airpark Drive, Santa Maria, California, 93455","Providing land surveying to governments, utilities, contractors, and private citizens. Topographic surveys, boundary surveys, ALTA surveys, Utility surveying, and Construction staking."
"Mid Pacific Engineering, Inc.",Non-Chapter,troykamisky@midpacific.com,530 246-9499 (Phone); 530 246-9527 (Fax),,"840 Embarcadero Drive, Suite 20, West Sacramento, California, 95605",Geotechnical engineering & construction testing.
NV5,Non-Chapter,gregg.butsko@nv5.com,949 218-1600 (Phone),http://www.nv5.com,"209 Avenida Fabricante, Suite 130, San Clemente, California, 92672","Civil engineering consultants throughout California for public and private entities. Experienced in transportation, land development, public works, program and construction management, water and wastewater facilities, education and correction facilities."
"Rolls, Anderson & Rolls",Sierra,suz@rarcivil.com,530 895-1422 (Phone),https://www.rarcivil.com,"115 Yellowstone Drive, Chico, California, 95973",Civil engineering consulting and design as well as land surveying services for private clients and public works clients.
James C. Cushman,Channel Coast,lee@cushmancontracting.com,805 964-8661 (Phone); 805 967-6057 (Fax),http://www.cushmancontracting.com,"PO Box 1416, Goleta, California, 93116","General engineering contractor specializing in prevailing wage projects (water, wastewater, marine construction)"
EXP U.S. Services Inc. (EXP),Riverside/San Bernardino,gabriel.rodriguez@exp.com,909 751-3250 (Phone),https://www.exp.com,"451 East Vanderbilt Way, Suite 375, San Bernardino, California, 92408","EXP is an international consulting firm and provides general civil, traffic, highway/roadway, transit, architectural, and structural engineering services; environmental and sustainability studies and consulting services; construction management; and advisory services to its clients. EXP's heritage dates to 1906. The firm currently employs 4,000 staff in various expertise areas."
"Carollo Engineers, Inc.",Non-Chapter Member,smcdonald@carollo.com,415 399-1601 (Phone); 415 399-9414 (Fax),http://www.carollo.com,"870 Market Street, Suite 728, San Francisco, California, 94102","Carollo Engineers offers over six decades of experience in water, wastewater, energy, solid waste, storm drainage, and related projects. The scope of services to municipal, regional, and industrial clients includes technical and economic feasibility studies, planning and conceptual development, detailed engineering and design, procurement, expediting, and construction management services, start-up, and operations assistance and training."
"Richards, Watson & Gershon",Affiliate,iluduena@rwglaw.com,,,"350 South Grand Avenue, 37th Floor, Los Angeles, California, 90071","Richards, Watson & Gershon serves as city attorney, agency counsel, general counsel and special counsel to over 50 public agencies and private sector clients throughout the state, with offices in Los Angeles, Orange County and San Francisco. Core practice areas include public agency and municipal law, land use, planning, zoning, real estate, redevelopment, environmental law and oil and gas, water rights and water law."
"Culp and Tanner, Inc.",Sierra,ctchico@culpandtanner.com,530 895-3518 (Phone),http://www.culpandtanner.com,"55 Independence Circle, Suite 201, Chico, California, 95973",Structural Engineering
Provost & Pritchard,Non-Chapter,lsloan@ppeng.com,559 449-2700 (Phone),,"3387 Bodero Lane, Chico, California","Provost & Pritchard Consulting Group is a diverse civil engineering and land surveying firm engaged in water resources and land development engineering. Specialties include municipal water, wastewater, flood control and drainage, irrigation and water district management and engineering, on-farm irrigation and drainage, municipal infrastructure, subdivision and site development engineering, land surveying, GIS services and dairy design and regulatory compliance."
GUIDA,,cmcinally@guidainc.com,949 777-2000 (Phone); 949 777-2050 (Fax),http://www.guidasurveying.com,"9241 Irvine Blvd., Suite 100, Irvine, California, 92618","Right-of-way engineering, design surveys, legal and easements preparation, mapping, land subdivision, ALTA surveys, land surveying, sub-division-staking, boundary surveying, topographic survey and bridge survey."
ACEC Business Insurance Trust,Affiliate,Jeff.connelly@greyling.com,833 223-2248 (Phone),http://www.acecbit.org,"701 Market Street, Suite 1100, St. Louis, Missouri, 30022","Greyling Insurance Brokerage, a division of EPIC (Greyling) is the endorsed broker for the ACEC Business Insurance Trust (BIT).  Greyling is a specialty insurance broker and risk consultant dedicated to serving the design and construction industries. Greyling has experienced veterans of the insurance industry, design industry and legal profession which results in taking a multi‐focal view of risk to develop risk management and insurance solutions for firms of all sizes.  This includes access not only to the ACEC BIT’s customized Business Insurance Program that economically fits the needs of most member firms, but also access to the most sophisticated insurance markets in the world for large ACEC member firms with complex risk exposures."
Gordon Prill Inc.,Santa Clara,gaggarwal@gordonprill.com,408 745-7164 (Phone); 408 745-7172 (Fax),http://www.gordonprill.com,"310 East Caribbean Drive, Sunnyvale, California, 94089","Gordon Prill is a Silicon Valley design-build firm providing architecture, mechanical, and electrical engineering and constuction services. In business since 1979, we design and build facilities for a sophisticated client base in leading edge technology such as nanotechnology, bio-tech, satellite testing, cleanrooms, industrial facilities, and R & D labs. Our projects are challenging, and our clients count on us to perform beyond their expectations."
"Monterey Bay Engineers, Inc.",Monterey Bay Area Chapter,mbayengr@mbay.net,831 899-7899 (Phone); 831 899-7879 (Fax),http://www.montereybayengineers.com,"607 Charles Avenue, Suite B, Seaside, California, 93955","Civil engineering and land surveying including subdivisions, boundary, topographic mapping, roads, drainage, ALTA surveys, construction staking, grading, utilities, GPS surveys, structural design."
WSP USA,Sierra,douglas.dunrud@wsp.com,916 567-2500 (Phone); 916 925-3517 (Fax),http://www.wsp-pb.com,"1000 Enterprise Way, Suite 190, Roseville, California, 95678","MARKETS: Aviation, bridges, highways, ports and marine, rail, transit, tunnels, water and wastewater, facilities, mining, power, telecommunications. SERVICES: Planning, environmental, design and engineering, program management, construction management, management consulting, operations and maintenance, e-business and e-media."
Tokio Marine HCC,Affiliate,jbechter@tmhcc.com,925 305-2115 (Phone),http://www.tmhcc.com,"2999 Oak Road, Suite 720, Walnut Creek, California, 94597","Located in Concord, California and now in our fourth decade, Tokio Marine HCC is one of the nation’s leading insurers of Engineers, Surveyors and Contractors Professional Liability. Our programs are accessed nationwide by independent insurance brokers. Coverage is provided by U.S. Specialty Insurance Company and Houston Casualty Company and rated A++ (superior) by A.M. Best. We also have underwriting offices in Mt. Kisco, NY and Wakefield, MA."
Luster National Inc.,Non-Chapter,ichurch@luster.com,661 869-0157 (Phone),https://www.luster.com,"1701 Westwind Drive, Suite 117, Bakersfield, California, 93301","A management consulting firm specializing in strategic consulting services, program/project management and construction management activities. Luster has been in business for 35 years and operates nationwide. Our sector focus includes road and bridges, transit, healthcare and aviation. Luster is ISO 9001:2015 certified."
"Hicks & Hartwick, Inc.",Riverside/San Bernardino,matt@verycivil.com,909 793-2257 (Phone),,"37 E. Olive Ave, Suite C, Redlands, California, 92373","Hicks and Hartwick, Inc. is a civil engineering and land surveying firm that provides design services to both public and private sector clients. Our civil engineering service include support of project entitlements, land development design, storm water management, and municipal engineering. Land surveying services offered include boundry surveys and determination, right of way surveying, topographic mapping, legal description preparation, and map/legal description preparation."
Murtaugh Attorneys at Law,,mmurtaugh@mmnt.com,,,"2603 Main Street, Penthouse, Irvine, California","Murtaugh Meyer Nelson & Treglia LLP specializes in the representation of engineers and architects in the contract, litigation, corporate and employment matters."
Project Design Consultants,San Diego,greg@projectdesign.com,,,"701 B Street, Suite 800, San Diego, California","The firm provides land planning, civil engineering, land surveying, GIS mapping, landscape architecture and environmental services to both public agencies and the private development community."
"Diakont Advanced Technologies, Inc trading as KINEGGE",San Diego,ap@diakont.us.com,858 551-5551 (Phone); 858 504-7065 (Fax),http://www.diakont.com,"1660 Ord Way, Oceanside, California, 92056","Diakont designs and supplies technical solutions and modifications that extend the operational life and increase the performance, safety, and economy of nuclear energy, petrochemical, and oil & gas facilities."
Saylor Consulting Group,Affiliate Member,,,,"71 Stevenson Street, Suite 400, San Francisco, California","Saylor Consulting brings together a staff of experienced professionals who have helped shape and pioneer the field of cost consulting and continue to develop new approaches to maximize cost savings and streamline construction management. Saylor offers a wide range of services, combining project management, estimating, scheduling, project controls, and value engineering giving engineers, construction managers, contractors, architects, developers, lenders and owners complete command over project cost control, quality and on-time completion."
WSP USA,Non-Chapter,bruce.corkle@wsp.com,559 264-2535 (Phone); 559 264-7431 (Fax),https://www.wsp.com,"1281 East Alluvial Avenue, Suite 101, Fresno, California, 93720","Consulting hydrogeologists, environmental and geotechnical engineers and environmental scientists."
"Base Consulting Group, Inc.",San Joaquin Valley Chapter,info@basegrp.com,559 637-1544 (Phone),http://www.basegrp.com,"16453 East Manning Avenue, Reedley, California, 93654",Land surveying.
"Jensen Design & Survey, Inc.",Channel Coast,dj@djscivil.com,805 654-6977 (Phone); 805 654-6979 (Fax),http://www.jdscivil.com,"1672 Donlon Street, Ventura, California, 93003","Civil engineering, land planning and surveying. We serve some of Ventura County’s largest private sector businesses, global standouts in agriculture, and municipalities implementing cutting-edge infrastructure. Our clients choose us for reputation, stick with us for dependability; and refer others to us because we’re tried and true in getting the job done."
"Seachange Engineering, Inc.",Monterey Bay Area,matt@seachange.engineering,831 601-4456 (Phone),http://seachange.engineering,"659 Abrego St Suite 2, Monterey, California, 93940","Mechanical design firm specializing in high efficiency HVAC, hydronic, solar, plumbing and energy systems."
"4Creeks, Inc.",Non-Chapter,randyw@4-creeks.com,805 904-4394 (Phone),http://www.4-creeks.com,"605 Santa Rosa Street, Suite A, San Luis Obispo, California, 93401","4Creeks, Inc. houses 6 core disciplines under one roof, including Engineering, Surveying, Planning, Utility Design, Construction, and Marketing. 4Creeks is dedicated to providing innovative and logical solutions through thoughtful design. We specialize in Land Development, Municipal Engineering and Planning, Agricultural and Water Solutions, including Dairy Digesters and Water Regulation Management."
SSC Inc,Non-Chapter,sam.suwko@sscinc.us,,https://www.sscinc.us,"1150 S Olive Street, Los Angeles, California, 90015","SSC, Inc is a full-service program/project/construction management and engineering firm. Our mission is to provide solutions-based service to help clients deliver project across a diverse portfolio"
JMPE Electrical Engineering,Kern County Chapter,maloney@jmpe.net,661 831-7851 (Phone); 661 831-7813 (Fax),http://www.jmpe.net,"5500 Ming Avenue, Suite 251, Bakersfield, California, 93309",Electrical engineering and lighting design.
"Salem Engineering Group, Inc.",Non-Chapter,sammy@salem.net,661 393-9711 (Phone); 661 393-9710 (Fax),http://www.salem.net,"2809 Unicorn Road, Suite 103, Bakersfield, California, 93308","Salem Engineering Group, Inc. is a multi-disciplined consulting firm providing services in geotechnical, civil, structural, environmental, forensic engineering, engineering geology, construction inspection, and materials testing.  Our services are offered throughout California and the Western United States.  Salem and our 70+ employees are proud to be celebrating 15 years of engineering excellence."
"Geo-Advantec, Inc.",Los Angeles County,sarianna@geoadvantec.com,909 3050400 (Phone); 909 9070704 (Fax),http://www.GeoAdvantec.com,"457 West Allen Avenue, Suite 113, San Dimas, California, 91773",Geo-Advantec (GAI) is a certified Small Business (SBE) that provides a full range of geotechnical engineering as well as materials testing and inspection services. GAI's highly qualified and educated principals bring together more than 60 years of professional experience in public and private sectors projects. We own a certified laboratory.
"Fuscoe Engineering, Inc.",Orange County,rrobinson@fuscoe.com,949 474-1960 (Phone); 949 474-5315 (Fax),http://www.fuscoe.com,"15535 Sand Canyon Avenue, Suite 100, Irvine, California, 92618","Fuscoe Engineering, Inc. is a civil engineering and land surveying firm headquartered in Irvine with branch offices in San Diego, Los Angeles, Ontario, Danville and El Centro specializing in site development projects for residential, retail and commercial/industrial construction as well as highway and flood control work for public agencies."
"Rinne & Peterson, Inc.",Santa Clara,maya@rpse.com,650 428-2860 (Phone); 650 428-2861 (Fax),http://www.rpse.com,"3235 Kifer Road, Suite 200, Santa Clara, California, 95051","California Certified Small Business. Comprehensive value engineering and structural design for architects, owners, public or private sectors. Facilities: new; additions; remodels; support structures. Specializations include: green building; feasibility studies; cost estimates; computer-aided engineering analysis and drafting; peer review; plan check; retrofit reports; upgrading existing structures for changed functions; pump stations. Industries: education, residential, health care, government, historical and technology."
"CBC Geospatial Consulting, Inc.",Sierra,info@cbcgeospatial.com,916 921-9033 (Phone); 916 921-9044 (Fax),http://www.cbcgeospatial.com,"1300 Ethan Way, Suite 300, Sacramento, California, 95825","CBC Geospatial Consulting is a geomatics engineering firm that specializes in providing accurate and comprehensive surveying, mapping, right of way engineering, GIS, photogrammetry and 3D analyses which serve as foundational components for successful civil engineering infrastructure projects and forensic investigations."
